cctv_ID,Direction,RoadName,VideoStreamURL
CCTV01,NE,三民路,https://changhuatc.chtraffic.gov.tw/cctv/1/Interface/Cameras/GetJPEGStream?Camera=cctv01&Width=320&Height=240&Quality=50&FPS=5&AuthUser=web
CCTV02,W,台14線,https://changhuatc.chtraffic.gov.tw/cctv/1/Interface/Cameras/GetJPEGStream?Camera=cctv02&Width=320&Height=240&Quality=50&FPS=5&AuthUser=web
CCTV35,S,台19線,https://changhuatc.chtraffic.gov.tw/cctv/1/Interface/Cameras/GetJPEGStream?Camera=cctv35&Width=320&Height=240&Quality=50&FPS=5&AuthUser=web
CCTV36,S,台19線,https://changhuatc.chtraffic.gov.tw/cctv/1/Interface/Cameras/GetJPEGStream?Camera=cctv36&Width=320&Height=240&Quality=50&FPS=5&AuthUser=web
CCTV37,SE,中央路,https://changhuatc.chtraffic.gov.tw/cctv/1/Interface/Cameras/GetJPEGStream?Camera=cctv37&Width=320&Height=240&Quality=50&FPS=5&AuthUser=web
CCTV38,E,彰馬路,https://changhuatc.chtraffic.gov.tw/cctv/1/Interface/Cameras/GetJPEGStream?Camera=cctv38&Width=320&Height=240&Quality=50&FPS=5&AuthUser=web
CCTV39,S,台1線,https://changhuatc.chtraffic.gov.tw/cctv/1/Interface/Cameras/GetJPEGStream?Camera=CCTV39&Width=320&Height=240&Quality=50&FPS=5&AuthUser=web
CCTV03,S,台1丙線,https://changhuatc.chtraffic.gov.tw/cctv/1/Interface/Cameras/GetJPEGStream?Camera=cctv03&Width=320&Height=240&Quality=50&FPS=5&AuthUser=web
CCTV04,E,142,https://changhuatc.chtraffic.gov.tw/cctv/1/Interface/Cameras/GetJPEGStream?Camera=cctv04&Width=320&Height=240&Quality=50&FPS=5&AuthUser=web
CCTV05,E,138甲,https://changhuatc.chtraffic.gov.tw/cctv/1/Interface/Cameras/GetJPEGStream?Camera=cctv05&Width=320&Height=240&Quality=50&FPS=5&AuthUser=web
CCTV06,N,青雲路,https://changhuatc.chtraffic.gov.tw/cctv/1/Interface/Cameras/GetJPEGStream?Camera=cctv06&Width=320&Height=240&Quality=50&FPS=5&AuthUser=web
CCTV07,N,台17線,https://changhuatc.chtraffic.gov.tw/cctv/1/Interface/Cameras/GetJPEGStream?Camera=cctv07&Width=320&Height=240&Quality=50&FPS=5&AuthUser=web
CCTV08,S,台1線,https://changhuatc.chtraffic.gov.tw/cctv/1/Interface/Cameras/GetJPEGStream?Camera=cctv08&Width=320&Height=240&Quality=50&FPS=5&AuthUser=web
CCTV09,S,台1線,https://changhuatc.chtraffic.gov.tw/cctv/1/Interface/Cameras/GetJPEGStream?Camera=cctv09&Width=320&Height=240&Quality=50&FPS=5&AuthUser=web
CCTV10,S,台1線,https://changhuatc.chtraffic.gov.tw/cctv/1/Interface/Cameras/GetJPEGStream?Camera=cctv10&Width=320&Height=240&Quality=50&FPS=5&AuthUser=web
CCTV11,S,台1線,https://changhuatc.chtraffic.gov.tw/cctv/1/Interface/Cameras/GetJPEGStream?Camera=cctv11&Width=320&Height=240&Quality=50&FPS=5&AuthUser=web
CCTV13,S,台1線,https://changhuatc.chtraffic.gov.tw/cctv/1/Interface/Cameras/GetJPEGStream?Camera=cctv13&Width=320&Height=240&Quality=50&FPS=5&AuthUser=web
CCTV14,S,145,https://changhuatc.chtraffic.gov.tw/cctv/1/Interface/Cameras/GetJPEGStream?Camera=cctv14&Width=320&Height=240&Quality=50&FPS=5&AuthUser=web
CCTV15,E,150,https://changhuatc.chtraffic.gov.tw/cctv/1/Interface/Cameras/GetJPEGStream?Camera=cctv15&Width=320&Height=240&Quality=50&FPS=5&AuthUser=web
CCTV16,W,148,https://changhuatc.chtraffic.gov.tw/cctv/1/Interface/Cameras/GetJPEGStream?Camera=cctv16&Width=320&Height=240&Quality=50&FPS=5&AuthUser=web
CCTV17,W,148,https://changhuatc.chtraffic.gov.tw/cctv/1/Interface/Cameras/GetJPEGStream?Camera=cctv17&Width=320&Height=240&Quality=50&FPS=5&AuthUser=web
CCTV18,N,中正路,https://changhuatc.chtraffic.gov.tw/cctv/1/Interface/Cameras/GetJPEGStream?Camera=cctv18&Width=320&Height=240&Quality=50&FPS=5&AuthUser=web
CCTV19,N,中山路一段,https://changhuatc.chtraffic.gov.tw/cctv/1/Interface/Cameras/GetJPEGStream?Camera=cctv19&Width=320&Height=240&Quality=50&FPS=5&AuthUser=web
CCTV20,N,育英路,https://changhuatc.chtraffic.gov.tw/cctv/1/Interface/Cameras/GetJPEGStream?Camera=cctv20&Width=320&Height=240&Quality=50&FPS=5&AuthUser=web
CCTV21,S,137,https://changhuatc.chtraffic.gov.tw/cctv/1/Interface/Cameras/GetJPEGStream?Camera=cctv21&Width=320&Height=240&Quality=50&FPS=5&AuthUser=web
CCTV22,NE,三民路,https://changhuatc.chtraffic.gov.tw/cctv/1/Interface/Cameras/GetJPEGStream?Camera=cctv22&Width=320&Height=240&Quality=50&FPS=5&AuthUser=web
CCTV23,SE,彰美路一段,https://changhuatc.chtraffic.gov.tw/cctv/1/Interface/Cameras/GetJPEGStream?Camera=cctv23&Width=320&Height=240&Quality=50&FPS=5&AuthUser=web
CCTV24,S,台17線,https://changhuatc.chtraffic.gov.tw/cctv/1/Interface/Cameras/GetJPEGStream?Camera=cctv24&Width=320&Height=240&Quality=50&FPS=5&AuthUser=web
CCTV25,SE,中山路,https://changhuatc.chtraffic.gov.tw/cctv/1/Interface/Cameras/GetJPEGStream?Camera=cctv25&Width=320&Height=240&Quality=50&FPS=5&AuthUser=web
