cctv_ID,Direction,RoadName,VideoStreamURL
C010001,SW,友愛路,http://61.60.38.53:8601/Interface/Cameras/GetJPEGStream?Camera=CCTV006&Width=320&Height=240&Quality=70&FPS=10&AuthUser=web
C010002,N,新民路,http://61.60.38.53:8601/Interface/Cameras/GetJPEGStream?Camera=CCTV007&Width=320&Height=240&Quality=70&FPS=10&AuthUser=web
C010003,NE,中山路,http://61.60.38.53:8601/Interface/Cameras/GetJPEGStream?Camera=CCTV008&Width=320&Height=240&Quality=70&FPS=10&AuthUser=web
C010004,SE,北港路,http://61.60.38.53:8601/Interface/Cameras/GetJPEGStream?Camera=CCTV009&Width=320&Height=240&Quality=70&FPS=10&AuthUser=web
C010005,W,垂楊路,http://61.60.38.53:8601/Interface/Cameras/GetJPEGStream?Camera=CCTV010&Width=320&Height=240&Quality=70&FPS=10&AuthUser=web
C010006,E,大雅路二段,http://61.60.38.53:8601/Interface/Cameras/GetJPEGStream?Camera=CCTV001&Width=320&Height=240&Quality=70&FPS=10&AuthUser=web
C010007,E,民族路,http://61.60.38.53:8601/Interface/Cameras/GetJPEGStream?Camera=CCTV011&Width=320&Height=240&Quality=70&FPS=10&AuthUser=web
C010008,NE,林森西路,http://61.60.38.53:8601/Interface/Cameras/GetJPEGStream?Camera=CCTV002&Width=320&Height=240&Quality=70&FPS=10&AuthUser=web
C010009,NE,中山路,http://61.60.38.53:8601/Interface/Cameras/GetJPEGStream?Camera=CCTV003&Width=320&Height=240&Quality=70&FPS=10&AuthUser=web
C010010,SW,中山路,http://61.60.38.53:8601/Interface/Cameras/GetJPEGStream?Camera=CCTV012&Width=320&Height=240&Quality=70&FPS=10&AuthUser=web
C010011,W,中山路,http://61.60.38.53:8601/Interface/Cameras/GetJPEGStream?Camera=CCTV013&Width=320&Height=240&Quality=70&FPS=10&AuthUser=web
C010012,W,興業西路,http://61.60.38.53:8601/Interface/Cameras/GetJPEGStream?Camera=CCTV004&Width=320&Height=240&Quality=70&FPS=10&AuthUser=web
C010013,SE,新生路,http://61.60.38.53:8601/Interface/Cameras/GetJPEGStream?Camera=CCTV014&Width=320&Height=240&Quality=70&FPS=10&AuthUser=web
C010014,S,文化路,http://61.60.38.53:8601/Interface/Cameras/GetJPEGStream?Camera=CCTV015&Width=320&Height=240&Quality=70&FPS=10&AuthUser=web
C010015,SE,新生路,http://61.60.38.53:8601/Interface/Cameras/GetJPEGStream?Camera=CCTV019&Width=320&Height=240&Quality=70&FPS=10&AuthUser=web
C010016,SE,高鐵大道,http://61.60.38.53:8601/Interface/Cameras/GetJPEGStream?Camera=CCTV020&Width=320&Height=240&Quality=70&FPS=10&AuthUser=web
C010017,E,垂楊路,http://61.60.38.53:8601/Interface/Cameras/GetJPEGStream?Camera=CCTV017&Width=320&Height=240&Quality=70&FPS=10&AuthUser=web
C010018,E,垂楊路,http://61.60.38.53:8601/Interface/Cameras/GetJPEGStream?Camera=CCTV018&Width=320&Height=240&Quality=70&FPS=10&AuthUser=web
C010019,E,垂楊路,http://61.60.38.53:8601/Interface/Cameras/GetJPEGStream?Camera=CCTV016&Width=320&Height=240&Quality=70&FPS=10&AuthUser=web
C010020,N,忠孝路,http://61.60.38.53:8601/Interface/Cameras/GetJPEGStream?Camera=CCTV005&Width=320&Height=240&Quality=70&FPS=10&AuthUser=web
C010021,NW,北港路,http://61.60.38.53:8601/Interface/Cameras/GetJPEGStream?Camera=CCTV021&Width=320&Height=240&Quality=70&FPS=10&AuthUser=admin
C010022,S,環潭公路,http://61.60.38.53:8601/Interface/Cameras/GetJPEGStream?Camera=CCTV022&Width=320&Height=240&Quality=70&FPS=10&AuthUser=admin
C010023,N,吳鳳南路,http://61.60.38.53:8601/Interface/Cameras/GetJPEGStream?Camera=CCTV023&Width=320&Height=240&Quality=70&FPS=10&AuthUser=admin
C010024,W,世賢路四段,http://61.60.38.53:8601/Interface/Cameras/GetJPEGStream?Camera=CCTV024&Width=320&Height=240&Quality=70&FPS=10&AuthUser=admin
