cctv_ID,RoadName,VideoStreamURL
N01-005-CC201,竹北市中華路與興隆路一段-中華路,http://124.199.98.109/jpeg?cam=5
N01-006-CC202,竹北市中華路與興隆路一段-興隆路,http://124.199.98.109/jpeg?cam=6
N01-007,竹北市光明六路與南下匝道-光明六路往西,http://124.199.98.109/jpeg?cam=7
N01-008,湖口鄉台1線新興路與仰德高中-台1線往南,http://124.199.98.109/jpeg?cam=08
N01-009-CC203,竹北市中華路與興隆路一段-中華路,http://124.199.98.109/jpeg?cam=9
N01-010-CC204,竹北市中華路與興隆路一段-中華路,http://124.199.98.109/jpeg?cam=10
N01-011-CC205,竹北市光明六路東二段自強南路-光明六路東二段,http://124.199.98.109/jpeg?cam=11
N01-012-CC206,竹北市光明六路東二段自強南路-自強南路,http://124.199.98.109/jpeg?cam=12
N01-013-CC207,竹北市光明六路東二段自強南路-自強北路,http://124.199.98.109/jpeg?cam=13
N01-015-CC210,竹北市自強南路與文興路-文興路,http://124.199.98.109/jpeg?cam=15
N01-016-CC211,竹北市自強南路與文興路-自強南路,http://124.199.98.109/jpeg?cam=16
N01-017-CC209,竹北市經國橋台68匝道出口-匝道出口,http://124.199.98.109/jpeg?cam=17
N01-018-CC208,竹北市經國橋台68匝道出口-平面,http://124.199.98.109/jpeg?cam=18
N01-020-CC212,竹北市自強南路-經國橋下橋處,http://124.199.98.109/jpeg?cam=20
N01-023-CC213,竹北市興隆大橋-往竹北,http://124.199.98.109/jpeg?cam=23
N01-024-CC214,竹北市高鐵五路與文興路二段-高鐵五路,http://124.199.98.109/jpeg?cam=24
