cctv_ID,Direction,RoadName,VideoStreamURL
C000004,N,中華二路,https://cctv7.kctmc.nat.gov.tw/play/jpg.php?devid={7fee3fe7-ed8b-5d34-a9ba-511e4e69cbc8}&L=dfe8885c1acbe4c5e5fb91e6d9bd3724
C000005,N,中華三路,https://cctv2.kctmc.nat.gov.tw/0dfc3403/snapshot
C000007,S,澄清路,https://cctv2.kctmc.nat.gov.tw/c8a1cf66/snapshot
C000008,N,中華一路,https://cctv2.kctmc.nat.gov.tw/648b7b0d/snapshot
C000010,E,高雄都會快速道路,https://cctv2.kctmc.nat.gov.tw/a276c8c1/snapshot
C000011,S,國道1號,https://cctv6.kctmc.nat.gov.tw/77c23c50/snapshot
C000012,N,國道1號,https://cctv2.kctmc.nat.gov.tw/367d924c/snapshot
C000013,N,台1線,https://cctv2.kctmc.nat.gov.tw/1cf29d9d/snapshot
C000014,S,台1線,https://cctv4.kctmc.nat.gov.tw/9e00aa3e/snapshot
C000016,N,民族一路,https://cctv2.kctmc.nat.gov.tw/cc93eb05/snapshot
C000017,N,民族二路,https://cctv3.kctmc.nat.gov.tw/74fee170/snapshot
C000018,N,民族二路,https://cctv2.kctmc.nat.gov.tw/f87cdae1/snapshot
C000019,S,光華一路,https://cctv2.kctmc.nat.gov.tw/88b6eddf/snapshot
C000020,N,河東路,https://cctv4.kctmc.nat.gov.tw/335e2702/snapshot
C000021,SE,中山四路,https://cctv2.kctmc.nat.gov.tw/c2b6db7f/snapshot
C000022,S,武營路,https://cctv2.kctmc.nat.gov.tw/a7d37296/snapshot
C000023,S,成功二路,https://cctv2.kctmc.nat.gov.tw/0a711fe6/snapshot
C000025,S,台17線,https://cctv2.kctmc.nat.gov.tw/fbcb389f/snapshot
C000026,N,台17線,https://cctv6.kctmc.nat.gov.tw/cf116a1c/snapshot
C000028,N,中華四路,https://cctv2.kctmc.nat.gov.tw/db9c47e1/snapshot
C000029,SE,旗津三路,https://cctv2.kctmc.nat.gov.tw/1bf7c662/snapshot
C000030,SE,旗津三路,https://cctv2.kctmc.nat.gov.tw/bcb2a39b/snapshot
C000031,SE,旗津三路,https://cctv2.kctmc.nat.gov.tw/b44727ae/snapshot
C000032,NW,旗津二路,https://cctv4.kctmc.nat.gov.tw/62b59b19/snapshot
C000033,W,國道10號,https://cctv2.kctmc.nat.gov.tw/6d9cd242/snapshot
C000035,W,高雄都會快速道路,https://cctv3.kctmc.nat.gov.tw/1931351a/snapshot
C000036,S,中華五路,https://cctv3.kctmc.nat.gov.tw/3d7b717d/snapshot
C000038,NW,大中一路,https://cctv4.kctmc.nat.gov.tw/b2d221a4/snapshot
C000039,E,明誠二路,https://cctv3.kctmc.nat.gov.tw/338193de/snapshot
C000040,SE,中山四路,https://cctv3.kctmc.nat.gov.tw/f0bc5029/snapshot
C000041,NW,中山四路,https://cctv3.kctmc.nat.gov.tw/40f0fdd6/snapshot
C000043,N,台1戊線,https://cctv6.kctmc.nat.gov.tw/ab95a92c/snapshot
C000044,S,中華一路,https://cctv1.kctmc.nat.gov.tw/55f8fc17/snapshot
C000045,NE,翠華路,https://cctv3.kctmc.nat.gov.tw/cbc10d4b/snapshot
C000046,W,九如一路,https://cctv3.kctmc.nat.gov.tw/73777faa/snapshot
C000047,E,九如一路,https://cctv3.kctmc.nat.gov.tw/4f0415e9/snapshot
C000048,N,台17線,https://cctv3.kctmc.nat.gov.tw/34c498f2/snapshot
C000050,NW,沿海二路,https://cctv1.kctmc.nat.gov.tw/c5e8bdda/snapshot
C000051,E,楠陽路,https://cctv3.kctmc.nat.gov.tw/f640fde7/snapshot
