cctv_ID,Direction,RoadName,VideoStreamURL
T000002,N,國道3號,https://CCTV.KLCG.GOV.TW:443/9cc4ca1c
T000003,SW,祥豐街,https://CCTV.KLCG.GOV.TW:443/41b0eff2
T000005,W,台2丁線,https://CCTV.KLCG.GOV.TW:443/e39b2843
T000007,E,東明路,https://CCTV.KLCG.GOV.TW:443/facd4662
T000008,SW,八德路,https://CCTV.KLCG.GOV.TW:443/fe38304c
T000009,NW,源遠路,https://CCTV.KLCG.GOV.TW:443/ad17e061
T000010,SW,安樂路二段,https://CCTV.KLCG.GOV.TW:443/c9a99974
T000012,SW,明德一路,https://CCTV.KLCG.GOV.TW:443/bf14f2af
T000014,SE,成功二路,https://CCTV.KLCG.GOV.TW:443/70cf7bac
T000015,NE,中正路,https://CCTV.KLCG.GOV.TW:443/55c38316
T000016,W,東信路,https://CCTV.KLCG.GOV.TW:443/6972615b
T000018,NE,祥豐街,https://CCTV.KLCG.GOV.TW:443/f33e96da
T000019,NE,中正路,https://CCTV.KLCG.GOV.TW:443/0c433e1e
T000020,NW,北寧路,https://CCTV.KLCG.GOV.TW:443/cde959f2
T000021,NE,中山一路,https://CCTV.KLCG.GOV.TW:443/bf0ed2e8
T000022,SW,中山一路,https://CCTV.KLCG.GOV.TW:443/a1951422
T000023,SW,義一路,https://CCTV.KLCG.GOV.TW:443/fe7f8d20
T000025,NW,忠一路,https://CCTV.KLCG.GOV.TW:443/10afbef6
T000026,NW,忠一路,https://CCTV.KLCG.GOV.TW:443/1c8ebc07
T000027,NW,基金二路,https://CCTV.KLCG.GOV.TW:443/a4fbca47
T000030,NW,基金三路,https://CCTV.KLCG.GOV.TW:443/79735f24
T000031,E,基金一路,https://CCTV.KLCG.GOV.TW:443/afc440ef
T000032,NW,基金三路,https://CCTV.KLCG.GOV.TW:443/6613ea0b
T000033,S,中山二路,https://CCTV.KLCG.GOV.TW:443/f40905ec
T000034,W,東海街,https://cctv.klcg.gov.tw/cce885d5
T000036,W,明德三路,https://CCTV.KLCG.GOV.TW:443/d732959c
T000037,SW,中山一路,https://cctv.klcg.gov.tw/4e6b2984
T000038,SW,愛三路,https://cctv.klcg.gov.tw/48603956
T000039,SE,正濱路,https://CCTV.KLCG.GOV.TW:443/1098d034
T000040,NE,中正路,https://CCTV.KLCG.GOV.TW:443/8edd00b1
T000041,SW,中正路,https://CCTV.KLCG.GOV.TW:443/779d5831
T000042,SW,港西街,https://CCTV.KLCG.GOV.TW:443/01d5a434
T000043,NE,中山一路,https://CCTV.KLCG.GOV.TW:443/a6897937
T000044,E,仁二路,https://CCTV.KLCG.GOV.TW:443/05c7e2d9
T000045,S,中山二路,https://CCTV.KLCG.GOV.TW:443/a22c3d9d
T000046,E,102,https://CCTV.KLCG.GOV.TW:443/5dc09fe8
T000047,N,麥金路,https://CCTV.KLCG.GOV.TW:443/ed3956e0
T000048,W,102,https://CCTV.KLCG.GOV.TW:443/86dd979f
T000049,W,台62甲線,https://CCTV.KLCG.GOV.TW:443/31fb51dc
T000050,E,102,https://CCTV.KLCG.GOV.TW:443/e34dd3c2
T000051,E,台62甲線,https://CCTV.KLCG.GOV.TW:443/b97b5980
T000052,S,深溪路,https://CCTV.KLCG.GOV.TW:443/e396f4c8
T000053,NW,深澳坑路,https://CCTV.KLCG.GOV.TW:443/2df67f02
T000054,E,102,https://CCTV.KLCG.GOV.TW:443/8ec8cebd
T000055,SE,深澳坑路,https://CCTV.KLCG.GOV.TW:443/b872ad93
T000056,A,基金公路圓環,https://CCTV.KLCG.GOV.TW:443/8a2f8b58
T000057,W,安一路,https://CCTV.KLCG.GOV.TW:443/108ffee4
T000058,W,台2線,https://CCTV.KLCG.GOV.TW:443/c588b4ed
T000059,N,復興路,https://CCTV.KLCG.GOV.TW:443/6c944104
T000060,W,台2線,https://CCTV.KLCG.GOV.TW:443/47668ccf
T000061,NE,祥豐街,https://CCTV.KLCG.GOV.TW:443/d6dee07c
T006940,N,麥金路,https://CCTV.KLCG.GOV.TW:443/15c4860f
T010931,NW,正濱路,https://CCTV.KLCG.GOV.TW:443/cc6b56ab
T015730,SE,德安路,https://CCTV.KLCG.GOV.TW:443/7a0cfa17
T202400,E,台62線,https://CCTV.KLCG.GOV.TW:443/2509bb1d
T202900,N,調和街,https://CCTV.KLCG.GOV.TW:443/c78e20a2
T203170,S,深溪路,https://CCTV.KLCG.GOV.TW:443/123f54a1
T203300,SE,中和路,https://CCTV.KLCG.GOV.TW:443/98a31378
T203520,NW,無名道路1,https://cctv.klcg.gov.tw/24c20536
T204820,SE,湖海路一段,https://CCTV.KLCG.GOV.TW:443/46c063f1
T205130,S,中華路,https://CCTV.KLCG.GOV.TW:443/cbbaa7d5
