cctv_ID,Direction,RoadName,VideoStreamURL
C000076,S,新北環河快速道路,http://atis.ntpc.gov.tw/ATIS/ShowFrame4CCTV/C000076
C000186,N,文化路,http://atis.ntpc.gov.tw/ATIS/ShowFrame4CCTV/C000186
C000283,E,大同路三段,http://atis.ntpc.gov.tw/ATIS/ShowFrame4CCTV/C000283
C000397,NW,景新街,http://atis.ntpc.gov.tw/ATIS/ShowFrame4CCTV/C000397
C000278,NE,大同路二段,http://atis.ntpc.gov.tw/ATIS/ShowFrame4CCTV/C000278
C000273,NW,大義路,http://atis.ntpc.gov.tw/ATIS/ShowFrame4CCTV/C000273
C000151,N,環河路,http://atis.ntpc.gov.tw/ATIS/ShowFrame4CCTV/C000151
C000275,W,大同路一段,http://atis.ntpc.gov.tw/ATIS/ShowFrame4CCTV/C000275
C000274,NE,柑園街二段,http://atis.ntpc.gov.tw/ATIS/ShowFrame4CCTV/C000274
C000039,SE,民生路二段,http://atis.ntpc.gov.tw/ATIS/ShowFrame4CCTV/C000039
C000187,W,復興路,http://atis.ntpc.gov.tw/ATIS/ShowFrame4CCTV/C000187
C000299,S,民權路,http://192.168.1.91/web/cctv/liveview.html?serverId=ec55548b-020e-4456-9461-3ae3a0aed09d&amp;jobId=7d5abd73-599b-4172-aa2f-4908e8275df7
C000298,SE,中正東路一段,http://192.168.1.91/web/cctv/liveview.html?serverId=ec55548b-020e-4456-9461-3ae3a0aed09d&amp;jobId=ee985557-6eee-4638-ac87-3b58e19b7a7c
C000053,NE,文化路一段,http://atis.ntpc.gov.tw/ATIS/ShowFrame4CCTV/C000053
C000288,N,中正東路二段,http://192.168.1.91/web/cctv/liveview.html?serverId=ec55548b-020e-4456-9461-3ae3a0aed09d&amp;jobId=1f9bd0bc-f6e2-4d10-8488-7dab31a8f6b5
C000287,NE,中正路二段,http://atis.ntpc.gov.tw/ATIS/ShowFrame4CCTV/C000287
C000042,N,環河路,http://atis.ntpc.gov.tw/ATIS/ShowFrame4CCTV/C000042
C000284,NW,環河北路三段,http://atis.ntpc.gov.tw/ATIS/ShowFrame4CCTV/C000284
C000276,W,大同路一段,http://atis.ntpc.gov.tw/ATIS/ShowFrame4CCTV/C000276
C000158,E,文山路一段,http://atis.ntpc.gov.tw/ATIS/ShowFrame4CCTV/C000158
C000279,NE,大同路二段,http://atis.ntpc.gov.tw/ATIS/ShowFrame4CCTV/C000279
C000157,E,文山路三段,http://atis.ntpc.gov.tw/ATIS/ShowFrame4CCTV/C000157
C000152,N,中央三街,http://atis.ntpc.gov.tw/ATIS/ShowFrame4CCTV/C000152
C000272,S,中興路二段,http://atis.ntpc.gov.tw/ATIS/ShowFrame4CCTV/C000272
C000032,SW,文化一路一段,http://atis.ntpc.gov.tw/ATIS/ShowFrame4CCTV/C000032
C000159,N,龍米路一段,http://192.168.1.91/web/cctv/liveview.html?serverId=ec55548b-020e-4456-9461-3ae3a0aed09d&amp;jobId=db49d3e2-e7e5-4511-95d2-add5decbac04
C000297,N,中正東路二段,http://192.168.1.91/web/cctv/liveview.html?serverId=ec55548b-020e-4456-9461-3ae3a0aed09d&amp;jobId=1b07d9ae-a467-4be5-af5b-3e40a0834541
C000175,SE,中正東路一段,http://192.168.1.91/web/cctv/liveview.html?serverId=ec55548b-020e-4456-9461-3ae3a0aed09d&amp;jobId=65873b3c-9bb6-4cae-a390-231aa6d05620
C000296,N,中正東路二段,http://192.168.1.91/web/cctv/liveview.html?serverId=ec55548b-020e-4456-9461-3ae3a0aed09d&amp;jobId=28db70af-b23e-4492-8fe9-a0a3c8f2e158
C000167,NW,三民路,http://atis.ntpc.gov.tw/ATIS/ShowFrame4CCTV/C000167
C000045,N,北新路一段,http://atis.ntpc.gov.tw/ATIS/ShowFrame4CCTV/C000045
C000162,NE,中正路,http://atis.ntpc.gov.tw/ATIS/ShowFrame4CCTV/C000162
C000044,S,北新路三段,http://atis.ntpc.gov.tw/ATIS/ShowFrame4CCTV/C000044
C000164,SW,自強路五段,http://atis.ntpc.gov.tw/ATIS/ShowFrame4CCTV/C000164
C000285,S,新五路二段,http://atis.ntpc.gov.tw/ATIS/ShowFrame4CCTV/C000285
C000049,W,新臺五路一段,http://atis.ntpc.gov.tw/ATIS/ShowFrame4CCTV/C000049
