cctv_ID,Direction,RoadName,VideoStreamURL
C000001,S,台3線,http://59.120.122.57:8080/CCTV/device/ShowCCTV/10-FC-54-01-0E-5A
C000002,W,台24線,http://59.120.122.57:8080/CCTV/device/ShowCCTV/10-FC-54-01-0E-60
C000003,S,台27線,http://59.120.122.57:8080/CCTV/device/ShowCCTV/10-FC-54-01-0E-64
C000004,S,台3線,http://59.120.122.57:8080/CCTV/device/ShowCCTV/10-FC-54-01-0E-59
C000005,S,重慶路,http://59.120.122.57:8080/CCTV/device/ShowCCTV/10-FC-54-01-1D-D1
C000006,E,光復路,http://59.120.122.57:8080/CCTV/device/ShowCCTV/10-FC-54-01-1D-D0
C000007,S,台1線,http://59.120.122.57:8080/CCTV/device/ShowCCTV/10-FC-54-01-23-A5
C000008,W,建國路,http://59.120.122.57:8080/CCTV/device/ShowCCTV/10-FC-54-01-4D-F2
C000009,N,189,http://59.120.122.57:8080/CCTV/device/ShowCCTV/10-FC-54-01-2B-E1
C000010,N,台27線,http://59.120.122.57:8080/CCTV/device/ShowCCTV/10-FC-54-00-9E-38
C000011,W,188,http://59.120.122.57:8080/CCTV/device/ShowCCTV/10-FC-54-01-14-E9
C000012,W,中山路,http://59.120.122.57:8080/CCTV/device/ShowCCTV/10-FC-54-01-0E-F0
C000013,W,無名道路4,http://59.120.122.57:8080/CCTV/device/ShowCCTV/10-FC-54-01-38-E7
C000014,N,台1線,http://59.120.122.57:8080/CCTV/device/ShowCCTV/10-FC-54-01-48-21
C000015,N,台1線,http://59.120.122.57:8080/CCTV/device/ShowCCTV/10-FC-54-01-48-1C
C000016,S,台1線,http://59.120.122.57:8080/CCTV/device/ShowCCTV/10-FC-54-00-A4-73
C000017,S,台17線,http://59.120.122.57:8080/CCTV/device/ShowCCTV/10-FC-54-01-4D-F7
C000018,S,台1線,http://59.120.122.57:8080/CCTV/device/ShowCCTV/10-FC-54-01-0E-5F
C000019,N,台1線,http://59.120.122.57:8080/CCTV/device/ShowCCTV/10-FC-54-01-0E-EE
C000020,N,台1線,http://59.120.122.57:8080/CCTV/device/ShowCCTV/00-2A-2A-78-54-F7
C000021,NW,東林路,http://59.120.122.57:8080/CCTV/device/ShowCCTV/10-FC-54-01-0E-66
C000022,NE,忠誠路,http://59.120.122.57:8080/CCTV/device/ShowCCTV/10-FC-54-01-1D-D2
C000023,S,台1線,http://59.120.122.57:8080/CCTV/device/ShowCCTV/10-FC-54-01-14-DC
C000024,S,台1線,http://59.120.122.57:8080/CCTV/device/ShowCCTV/10-FC-54-01-4D-F5
C000025,S,台1線,http://59.120.122.57:8080/CCTV/device/ShowCCTV/10-FC-54-01-48-11
C000026,N,台1線,http://59.120.122.57:8080/CCTV/device/ShowCCTV/10-FC-54-00-A4-5C
C000027,N,台1線,http://59.120.122.57:8080/CCTV/device/ShowCCTV/10-FC-54-01-48-14
C000028,S,台1線,http://59.120.122.57:8080/CCTV/device/ShowCCTV/10-FC-54-00-E8-78
C000029,S,台1線,http://59.120.122.57:8080/CCTV/device/ShowCCTV/00-2A-2A-78-54-ED
C000030,S,台1線,http://59.120.122.57:8080/CCTV/device/ShowCCTV/00-2A-2A-59-2C-B0
C000031,S,台1線,http://59.120.122.57:8080/CCTV/device/ShowCCTV/00-2A-2A-78-54-EE
C000032,N,台9線,http://59.120.122.57:8080/CCTV/device/ShowCCTV/10-FC-54-01-4D-F4
C000033,S,台1線,http://59.120.122.57:8080/CCTV/device/ShowCCTV/00-2A-2A-91-03-B4
C000034,S,台1線,http://59.120.122.57:8080/CCTV/device/ShowCCTV/10-FC-54-00-A4-6E
C000035,S,台1線,http://59.120.122.57:8080/CCTV/device/ShowCCTV/10-FC-54-01-2B-E6
C000036,E,台26線,http://59.120.122.57:8080/CCTV/device/ShowCCTV/00-2A-2A-57-A3-DA
C000037,E,台26線,http://59.120.122.57:8080/CCTV/device/ShowCCTV/10-FC-54-00-E8-FC
C000038,W,台26線,http://59.120.122.57:8080/CCTV/device/ShowCCTV/10-FC-54-01-4D-EF
C000039,E,台26線,http://59.120.122.57:8080/CCTV/device/ShowCCTV/10-FC-54-01-0E-F5
C000040,W,台26線,http://59.120.122.57:8080/CCTV/device/ShowCCTV/10-FC-54-01-48-16
C000041,W,台26線,http://59.120.122.57:8080/CCTV/device/ShowCCTV/10-FC-54-01-23-A2
C000042,N,台17線,http://59.120.122.57:8080/CCTV/device/ShowCCTV/10-FC-54-01-48-00
C000043,N,台17線,http://59.120.122.57:8080/CCTV/device/ShowCCTV/10-FC-54-00-E7-F8
C000044,N,台17線,http://59.120.122.57:8080/CCTV/device/ShowCCTV/10-FC-54-00-A4-6D
C000045,S,台17線,http://59.120.122.57:8080/CCTV/device/ShowCCTV/10-FC-54-01-0E-63
C000046,SW,光復路二段,http://59.120.122.57:8080/CCTV/device/ShowCCTV/10-FC-54-01-0E-5C
C000047,SE,中山路,http://59.120.122.57:8080/CCTV/device/ShowCCTV/10-FC-54-01-1D-D4
C000048,N,187,http://59.120.122.57:8080/CCTV/device/ShowCCTV/10-FC-54-01-48-02
C000049,NW,鵬灣大道一段,http://59.120.122.57:8080/CCTV/device/ShowCCTV/10-FC-54-01-0E-F8
C000050,S,台17線,http://59.120.122.57:8080/CCTV/device/ShowCCTV/10-FC-54-01-48-09
C000051,N,台17線,http://59.120.122.57:8080/CCTV/device/ShowCCTV/10-FC-54-00-A4-6A
C000052,N,台1線,http://59.120.122.57:8080/CCTV/device/ShowCCTV/10-FC-54-01-48-0E
