cctv_ID,Direction,RoadName,VideoStreamURL
T111650,E,大興西路一段,https://cctvtraffic.tycg.gov.tw/camera019
T700160,SE,新南路二段,https://cctvtraffic.tycg.gov.tw/camera166
T906550,NW,中正路,https://cctvtraffic.tycg.gov.tw/camera180
T105250,S,國際路二段,https://cctvtraffic.tycg.gov.tw/camera109
TD01020,N,台7線,https://cctvtraffic.tycg.gov.tw/camera124
T506640,E,信義路,https://cctvtraffic.tycg.gov.tw/camera085
TA00420,N,果林路,https://cctvtraffic.tycg.gov.tw/camera145
T227320,W,吉林路,https://cctvtraffic.tycg.gov.tw/camera131
T616210,NE,高鐵南路六段,https://cctvtraffic.tycg.gov.tw/camera163
T102420,W,成功路二段,https://cctvtraffic.tycg.gov.tw/camera035
T504740,S,瑞安路一段,https://cctvtraffic.tycg.gov.tw/camera171
T802500,SW,萬壽路一段,https://cctvtraffic.tycg.gov.tw/camera122
T501350,NE,介壽路,https://cctvtraffic.tycg.gov.tw/camera015
T505270,S,台3線,https://cctvtraffic.tycg.gov.tw/camera167
T206060,E,環北路,https://cctvtraffic.tycg.gov.tw/camera029
T301740,S,中豐路南勢一段,https://cctvtraffic.tycg.gov.tw/camera134
T245150,E,領航北路四段,https://cctvtraffic.tycg.gov.tw/camera160
T501620,SW,員林路一段,https://cctvtraffic.tycg.gov.tw/camera086
T224320,N,龍岡路二段,https://cctvtraffic.tycg.gov.tw/camera072
T217870,SE,中園路二段,https://cctvtraffic.tycg.gov.tw/camera159
T505700,S,慈湖路,https://cctvtraffic.tycg.gov.tw/camera089
T700270,N,新南路一段,https://cctvtraffic.tycg.gov.tw/camera107
T314940,SW,延平路三段,https://cctvtraffic.tycg.gov.tw/camera075
T107260,E,復興路,https://cctvtraffic.tycg.gov.tw/camera006
T205700,E,環北路,https://cctvtraffic.tycg.gov.tw/camera031
T100110,E,萬壽路三段,https://cctvtraffic.tycg.gov.tw/camera065
T205020,S,環西路,https://cctvtraffic.tycg.gov.tw/camera034
T103220,W,中山路,https://cctvtraffic.tycg.gov.tw/camera041
T104950,W,大興西路一段,https://cctvtraffic.tycg.gov.tw/camera018
T101600,W,成功路二段,https://cctvtraffic.tycg.gov.tw/camera057
T801660,E,萬壽路二段,https://cctvtraffic.tycg.gov.tw/camera094
T302200,W,環南路三段,https://cctvtraffic.tycg.gov.tw/camera070
TC00960,NW,青埔路二段,https://cctvtraffic.tycg.gov.tw/camera150
T201910,E,中華路二段,https://cctvtraffic.tycg.gov.tw/camera008
T105070,SE,中正路,https://cctvtraffic.tycg.gov.tw/camera021
T601220,E,中山北路二段,https://cctvtraffic.tycg.gov.tw/camera092
T903500,S,大昌路二段,https://cctvtraffic.tycg.gov.tw/camera120
TC04260,NE,領航北路三段,https://cctvtraffic.tycg.gov.tw/camera149
T702640,NW,南崁路,https://cctvtraffic.tycg.gov.tw/camera098
T313140,S,中豐路一段,https://cctvtraffic.tycg.gov.tw/camera013
T508840,S,慈康路,https://cctvtraffic.tycg.gov.tw/camera103
T202160,S,延平路,https://cctvtraffic.tycg.gov.tw/camera027
TB10850,NW,快速路九段,https://cctvtraffic.tycg.gov.tw/camera156
T100620,SE,正光路,https://cctvtraffic.tycg.gov.tw/camera045
T504640,S,瑞安路一段,https://cctvtraffic.tycg.gov.tw/camera170
T102000,S,春日路,https://cctvtraffic.tycg.gov.tw/camera055
T100860,W,中山路,https://cctvtraffic.tycg.gov.tw/camera039
T223260,SW,環中東路,https://cctvtraffic.tycg.gov.tw/camera172
T501370,SW,介壽路,https://cctvtraffic.tycg.gov.tw/camera014
T602260,E,中山路,https://cctvtraffic.tycg.gov.tw/camera091
T727470,SE,蘆興南路,https://cctvtraffic.tycg.gov.tw/camera176
T901730,N,中豐路高平段,https://cctvtraffic.tycg.gov.tw/camera179
TA14700,NE,高鐵北路三段,https://cctvtraffic.tycg.gov.tw/camera127
T205600,SW,環西路二段,https://cctvtraffic.tycg.gov.tw/camera033
T101260,S,龍壽街,https://cctvtraffic.tycg.gov.tw/camera040
T403040,N,介壽路二段,https://cctvtraffic.tycg.gov.tw/camera080
T106550,E,文中路,https://cctvtraffic.tycg.gov.tw/camera110
T314800,NE,延平路三段,https://cctvtraffic.tycg.gov.tw/camera076
T103160,N,三民路三段,https://cctvtraffic.tycg.gov.tw/camera053
T902260,S,中原路二段,https://cctvtraffic.tycg.gov.tw/camera177
T101420,E,中山路,https://cctvtraffic.tycg.gov.tw/camera042
T722870,NW,南崁路二段,https://cctvtraffic.tycg.gov.tw/camera164
T100450,W,復興路,https://cctvtraffic.tycg.gov.tw/camera048
T107800,SE,新南路二段,https://cctvtraffic.tycg.gov.tw/camera126
T505440,N,康莊路,https://cctvtraffic.tycg.gov.tw/camera087
T103320,N,三民路三段,https://cctvtraffic.tycg.gov.tw/camera064
T103440,N,三民路三段,https://cctvtraffic.tycg.gov.tw/camera038
T200150,SW,中山路,https://cctvtraffic.tycg.gov.tw/camera148
