cctv_ID,Direction,RoadName,VideoStreamURL
C010020,W,安北路,https://trafficvideo2.tainan.gov.tw/192168234005
C058330,NW,東門路二段,https://trafficvideo.tainan.gov.tw/17dcd3fb
C071640,S,安億路,https://trafficvideo2.tainan.gov.tw/192168234004
C088570,W,安北路,https://trafficvideo2.tainan.gov.tw/192168234006
C088630,NW,王城路,https://trafficvideo2.tainan.gov.tw/192168234001
C098800,N,新港社大道,https://trafficvideo2.tainan.gov.tw/17bb0240
C110001,E,健康路一段,https://trafficvideo2.tainan.gov.tw/539b8083
C110002,N,南門路,https://trafficvideo.tainan.gov.tw/ef80a475
C110003,NW,東寧路西段,https://trafficvideo2.tainan.gov.tw/a0c6236b
C110004,NW,開山路,https://trafficvideo2.tainan.gov.tw/54b2e135
C110005,S,忠義路二段,https://trafficvideo2.tainan.gov.tw/82520774
C110006,S,台17線,https://trafficvideo.tainan.gov.tw/c465bf94
C110007,W,府前路二段,https://trafficvideo.tainan.gov.tw/6a0feb9b
C110008,N,台1線,https://trafficvideo2.tainan.gov.tw/b7b89f55
C110009,S,台19線,https://trafficvideo2.tainan.gov.tw/05c68597
C110010,S,台1線,https://trafficvideo2.tainan.gov.tw/a430e931
C110011,W,復興路,https://trafficvideo2.tainan.gov.tw/9f277849
C110012,S,長榮路三段,https://trafficvideo2.tainan.gov.tw/a3f5f3d2
C154400,W,國道8號,https://trafficvideo2.tainan.gov.tw/9a2e174e
C156060,W,中山路,https://trafficvideo2.tainan.gov.tw/50794012
C303400,SW,行昌路,https://trafficvideo.tainan.gov.tw/d46fb9da
C980310,NE,運河路,https://trafficvideo2.tainan.gov.tw/192168234003
C980750,N,台1線,https://trafficvideo2.tainan.gov.tw/03acfaeb
C981340,S,湖內一街,https://trafficvideo2.tainan.gov.tw/192168234002
