cctv_ID,Direction,RoadName,VideoStreamURL
T000001,E,市民大道一段,http://172.16.3.161/live/index.html?ccd_id=1
T000002,N,環河快速道路,http://172.16.3.161/live/index.html?ccd_id=2
T000003,SE,中興大橋引道,http://172.16.3.161/live/index.html?ccd_id=3
T000004,S,台3線,http://172.16.3.161/live/index.html?ccd_id=4
T000005,S,環河快速道路,http://172.16.3.161/live/index.html?ccd_id=5
T000006,SE,水源快速道路,http://172.16.3.161/live/index.html?ccd_id=6
T000007,NW,水源快速道路,http://172.16.3.161/live/index.html?ccd_id=7
T000008,NW,水源快速道路,http://172.16.3.161/live/index.html?ccd_id=8
T000009,SE,汀州路三段,http://172.16.3.161/live/index.html?ccd_id=9
T000010,W,辛亥路一段,http://172.16.3.161/live/index.html?ccd_id=10
T000011,S,建國南北快速道路,http://172.16.3.161/live/index.html?ccd_id=11
T000012,W,辛亥路二段,http://172.16.3.161/live/index.html?ccd_id=12
T000013,S,建國南北快速道路,http://172.16.3.161/live/index.html?ccd_id=13
T000014,S,建國南北快速道路,http://172.16.3.161/live/index.html?ccd_id=14
T000015,N,建國南北快速道路,http://172.16.3.161/live/index.html?ccd_id=15
T000016,S,建國南北快速道路,http://172.16.3.161/live/index.html?ccd_id=16
T000017,N,建國南北快速道路,http://172.16.3.161/live/index.html?ccd_id=17
T000018,N,建國南北快速道路,http://172.16.3.161/live/index.html?ccd_id=18
T000019,N,建國南北快速道路,http://172.16.3.161/live/index.html?ccd_id=19
T000020,S,建國北路二段,http://172.16.3.161/live/index.html?ccd_id=20
T000021,E,民族東路,http://172.16.3.161/live/index.html?ccd_id=21
T000022,N,松江路,http://172.16.3.161/live/index.html?ccd_id=22
T000023,S,永福橋引道,http://172.16.3.161/live/index.html?ccd_id=23
T000024,NW,水源快速道路,http://172.16.3.161/live/index.html?ccd_id=24
T000025,SW,基隆路高架道路,http://172.16.3.161/live/index.html?ccd_id=25
T000026,NE,基隆路高架道路,http://172.16.3.161/live/index.html?ccd_id=26
T000027,N,環河北路一段,http://172.16.3.161/live/index.html?ccd_id=27
T000028,W,市民大道一段,http://172.16.3.161/live/index.html?ccd_id=28
T000029,N,敦化南路一段,http://172.16.3.161/live/index.html?ccd_id=29
T000030,E,市民大道高架道路,http://172.16.3.161/live/index.html?ccd_id=30
T000031,E,市民大道高架道路,http://172.16.3.161/live/index.html?ccd_id=31
T000032,W,市民大道高架道路,http://172.16.3.161/live/index.html?ccd_id=32
T000033,E,市民大道高架道路,http://172.16.3.161/live/index.html?ccd_id=33
T000034,E,市民大道高架道路,http://172.16.3.161/live/index.html?ccd_id=34
T000035,E,市民大道高架道路,http://172.16.3.161/live/index.html?ccd_id=35
T000036,E,環東大道,http://172.16.3.161/live/index.html?ccd_id=36
T000037,E,環東大道,http://172.16.3.161/live/index.html?ccd_id=37
T000038,SW,基隆路一段,http://172.16.3.161/live/index.html?ccd_id=38
T000039,W,民生西路,http://172.16.3.161/live/index.html?ccd_id=39
T000040,W,民權西路,http://172.16.3.161/live/index.html?ccd_id=40
T000041,E,敦煌路,http://172.16.3.161/live/index.html?ccd_id=41
T000042,W,中正路,http://172.16.3.161/live/index.html?ccd_id=42
T000043,S,重慶北路四段,http://172.16.3.161/live/index.html?ccd_id=43
T000044,S,中山北路四段,http://172.16.3.161/live/index.html?ccd_id=44
T000045,N,大直橋,http://172.16.3.161/live/index.html?ccd_id=45
T000046,E,民權東路六段,http://172.16.3.161/live/index.html?ccd_id=46
T000047,S,麥帥二橋,http://172.16.3.161/live/index.html?ccd_id=47
T000048,E,中正路,http://172.16.3.161/live/index.html?ccd_id=48
T000049,NE,南京東路六段,http://172.16.3.161/live/index.html?ccd_id=49
T000050,E,環東大道,http://172.16.3.161/live/index.html?ccd_id=50
