cctv_ID,Direction,RoadName,VideoStreamURL
C109211,NW,更生路,https://trafficvideo.ttcpb.gov.tw/47d4a486
C109131,NE,吉林路二段,https://trafficvideo.ttcpb.gov.tw/712f1754
C109011,NW,新生路,https://trafficvideo.ttcpb.gov.tw/cc00f228
C108121,W,新興路,https://trafficvideo.ttcpb.gov.tw/9c8690be
C110041,NW,信義路,https://trafficvideo.ttcpb.gov.tw/1d79b42d
C108041,SW,吉林路二段,https://trafficvideo.ttcpb.gov.tw/a97ad8bb
C109171,S,賓朗路,https://trafficvideo.ttcpb.gov.tw/475fff7c
C111011,E,中興路二段,https://trafficvideo.ttcpb.gov.tw/54484607
C109051,NW,新生路,https://trafficvideo.ttcpb.gov.tw/6ad09683
C109291,SW,連航路,https://trafficvideo.ttcpb.gov.tw/d436f7c2
C108081,W,正氣北路,https://trafficvideo.ttcpb.gov.tw/8ee7af26
C109091,SW,中山路,https://trafficvideo.ttcpb.gov.tw/1c549981
C111061,NE,中華路一段,https://trafficvideo.ttcpb.gov.tw/39eab823
CCTV-33-0090-356-01,S,台9線,https://cctv-ss05.thb.gov.tw/T9-340K+800?resolution=CIF_352X288
C108131,W,新興路,https://trafficvideo.ttcpb.gov.tw/d654a481
C109101,NW,四維路二段,https://trafficvideo.ttcpb.gov.tw/2538a62c
C109021,SE,新生路,https://trafficvideo.ttcpb.gov.tw/0a784caf
C108011,N,賓朗路,https://trafficvideo.ttcpb.gov.tw/5d1482e3
C109141,SW,吉林路二段,https://trafficvideo.ttcpb.gov.tw/8e1f9bb5
C110031,SW,中華路二段,https://trafficvideo.ttcpb.gov.tw/7847ac3c
C109061,SW,開封街,https://trafficvideo.ttcpb.gov.tw/f1392a2c
C108051,W,正氣北路,https://trafficvideo.ttcpb.gov.tw/63c07802
C111001,NE,賓朗路283巷,https://trafficvideo.ttcpb.gov.tw/e6c29c36
C111002,SW,賓朗路283巷,https://trafficvideo.ttcpb.gov.tw/d4676640
C109181,SW,賓朗路283巷,https://trafficvideo.ttcpb.gov.tw/d8d2fb28
C111003,NE,賓朗路283巷,https://trafficvideo.ttcpb.gov.tw/30ae8de7
C108091,NW,新生路,https://trafficvideo.ttcpb.gov.tw/05ee7e0e
C111091,N,台9線,https://trafficvideo.ttcpb.gov.tw/36ce0a03
C111051,NW,中正路,https://trafficvideo.ttcpb.gov.tw/08bcb385
CCTV-33-0090-360-01,S,台9線,https://cctv-ss05.thb.gov.tw/T9-344K+900?resolution=CIF_352X288
C108101,W,新興路,https://trafficvideo.ttcpb.gov.tw/b5bb56d3
C108021,SE,更生北路,https://trafficvideo.ttcpb.gov.tw/821c6f3a
C109111,NE,吉林路二段,https://trafficvideo.ttcpb.gov.tw/71019bab
C111031,SE,更生路,https://trafficvideo.ttcpb.gov.tw/9dce6ff1
C108061,SE,正氣路,https://trafficvideo.ttcpb.gov.tw/6a7cf4ee
C109151,E,富岡街,https://trafficvideo.ttcpb.gov.tw/fa7fbe21
C109031,NE,博愛路,https://trafficvideo.ttcpb.gov.tw/3fda0c31
C110021,SW,中華路一段,https://trafficvideo.ttcpb.gov.tw/7fbd0a27
C109271,SE,更生北路,https://trafficvideo.ttcpb.gov.tw/e5cd69f5
C109191,S,賓朗路,https://trafficvideo.ttcpb.gov.tw/1d022baf
C109071,SE,新生路,https://trafficvideo.ttcpb.gov.tw/6247ab39
C111081,W,正氣北路,https://trafficvideo.ttcpb.gov.tw/092a7689
C111041,SW,中華路一段,https://trafficvideo.ttcpb.gov.tw/d1ff9152
C109201,N,賓朗路,https://trafficvideo.ttcpb.gov.tw/1206eb38
C108031,NE,連航路,https://trafficvideo.ttcpb.gov.tw/69f48bbd
C109241,NE,志航路一段,https://trafficvideo.ttcpb.gov.tw/29fc0312
C108111,W,新興路,https://trafficvideo.ttcpb.gov.tw/025e92ee
C109121,SW,吉林路二段,https://trafficvideo.ttcpb.gov.tw/ca70c250
C109041,SE,新生路,https://trafficvideo.ttcpb.gov.tw/a01a37fc
C108071,SE,新生路,https://trafficvideo.ttcpb.gov.tw/4575a511
C111021,SE,更生路,https://trafficvideo.ttcpb.gov.tw/8303bde3
C109161,N,賓朗路,https://trafficvideo.ttcpb.gov.tw/8e95ebb3
C110011,NE,中華路一段,https://trafficvideo.ttcpb.gov.tw/9e79f5d0
C109081,E,中興路一段,https://trafficvideo.ttcpb.gov.tw/18ad80de
C111101,NE,吉林路二段,https://trafficvideo.ttcpb.gov.tw/eb18a47a
C111071,SW,中華路二段,https://trafficvideo.ttcpb.gov.tw/fe726b7a
CCTV-33-0090-362-01,N,忠孝路,https://cctv-ss05.thb.gov.tw/T9-346K+800?resolution=CIF_352X288
